document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,91517,MD Army National Guard La Plata Radiness Center,38.548257 -77.040528,"La Plata,MD,20646",Charles,Penalty Settlement,C-16-2366,01/07/2016,04/22/2016,Sediment,
,92003,Rosewood Village,-,"Hagerstown,MD",Washington,Penalty Settlement,C-16-2323,10/07/2015,10/20/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,93625,Bunting Family Llc/The Angler/dredging,TALBOT ST & BAY S OF RT 50 BRIDGE IN OC,"Ocean City,MD,21842",Worcester,Penalty Settlement,Eastern,11/05/2018,11/20/2018,Tidal Wetlands,Notice of Intent (Construction)
,137997,Sitatunga Barn at the Maryland Zoo,"Sitatunga Barn, Maryland Zoo, Druid Hill Park","Baltimore City,MD,21217",Baltimore City,Penalty Settlement,PS-13-1750,09/04/2012,10/01/2012,Notice of Intent,Notice of Intent (Construction)
,138151,Easton Commons Fill,"corner of Chapel Rd and, Sunflower Dr","Easton,MD,21601",Talbot,Penalty Settlement,PS-13-1769,09/25/2012,10/15/2012,Sediment,
,138157,08-WA-0133 Light Business Park,Omega Road,"Hagerstown,MD,21740",Washington,Penalty Settlement,PS-13-1774,10/03/2012,10/23/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,138224,"MNCPPC-Anacostia Riverwalk, Kenilworth Section",East bank of the Anacostia River,"Cheverly,MD,20781",Prince George's,Penalty Settlement,12-1137 (R),04/02/2015,04/15/2015,Tidal Wetlands,
,138391,Annapolis Towne Center at Parole-Greenberg Gibbons,"Annpolis Towne Center, Whole Foods  Underground Parking Garage, Sommersville Rd","Annapolis,MD,21401",Anne Arundel,Penalty Settlement,PS-13-1911,05/15/2013,05/16/2013,Surface Water Discharge Unauthorized,
,138487,Lakewood Estates,Behind homes 12635 through 12645 Willow View Place,"Waldorf,MD,20602",Charles,Penalty Settlement,,02/14/2013,03/29/2016,Non-Tidal Wetlands,
,138536,Joseph Schmidt,4536 Oakland Sang Run Road,"Oakland,MD,21550",Garrett,Settlement Agreement,08-NT-3293,03/20/2013,04/02/2013,Non-Tidal Wetlands;Sediment;Waterway Construction,
,138805,Budds Creek Pro National Inc-27969 Budds Creek Rd,27969 Budds Creek Rd,"Mechanicsville,MD,20659",St. Mary's,Consent Order,COP-15-2218,04/20/2015,08/08/2018,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,139142,Roberts Field Shopping Center SSO,"735 Hanover Pike, Roberts Field Shopping Center","Hampstead,MD,21074",Carroll,Penalty Settlement,Eisgruber,05/01/2014,05/20/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,139190,American Infrastructure site near MARC Train Station Beltsville,7012-B Muirkirk Rd,"Beltsville,MD,20705",Prince George's,Penalty Settlement,PS-13-1883,03/15/2013,04/22/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,139911,USAMRID Replacement Phase I,Fort Detrick,"Frederick,MD,21702",Frederick,Penalty Settlement,PS-13-1944,06/10/2013,08/09/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,139967,BWI Airport - 7350 Mathison Way,7350 Mathison Way,"BWI Airport,MD,21240",Anne Arundel,Penalty Settlement,PS-13-1936,05/22/2013,06/07/2013,Surface Water Discharge Unauthorized,
,140462,West River Gardens LLC,5346 Muddy Creek RD,"West River,MD,20778",Anne Arundel,Settlement Agreement,Laura Vandemark,12/23/2013,01/06/2014,Sediment,
,141378,Heron Grove Ct,6929 Heron Grove Ct,"Parsonsburg,MD,21804",Wicomico,Penalty Settlement,Patrick Noyes,11/20/2017,02/19/2018,Surface Water Discharge Unauthorized,Industrial Minor
,141554,Storey,Hoyes Run Road,"Mc Henry,MD,21541",Garrett,Penalty Settlement,C-14-2052,01/27/2014,05/01/2014,Sediment;Waterway Construction,
,141563,2630 N Salisbury Boulevard Shopping Center,2630 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-15-2230,03/04/2015,03/26/2015,Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,142317,Downtown Columbia Warfield Parcels C and D,10000 Town Center Ave,"Columbia,MD,21044",Howard,Penalty Settlement,PS-14-2075,03/28/2014,04/21/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,142668,Shymansky property,corner of Hill Road and Cobb Island Road,"Newburg,MD,20664",Charles,Penalty Settlement,PS-14-2112,05/27/2014,06/22/2015,Tidal Wetlands,
,143106,Love's Travel Stop #537,13300 Ali Ghan Road NE,"Cumberland,MD,21502",Allegany,Penalty Settlement,C-15-2132,08/15/2014,08/28/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,143421,"National Concrete, Inc AKA National Construction, Inc/ Express Concrete/ Pless Jones",3020 W Cold Spring Lane,"Baltimore City,MD,21215",Baltimore City,Consent Decree,CJ-21-2692,02/10/2021,,Sediment;Stormwater Management,Industrial Stormwater
,143658,AA DPW-Baltimore-Annapolis Boulevard,958 Baltimore Annapolis Blvd,"Severna Park,MD,21146",Anne Arundel,Penalty Settlement,C-16-2385,04/01/2016,06/07/2016,Sediment,
,143767,AA DPW-Brighton Place,betwn Penrod Ct and Brighton Pl,"Glen Burnie,MD,21061",Anne Arundel,Penalty Settlement,C-16-2386,04/01/2016,05/10/2016,Sediment,
,144277,John Sines,Monta Vista Rd. and Rt.219 South,"Oakland,MD,21550",Garrett,Settlement Agreement,Joe Bieberich,03/24/2017,02/08/2018,Non-Tidal Wetlands;Sediment;Waterway Construction,Notice of Intent (Construction)
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",08/12/2014,09/12/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",07/22/2015,08/12/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,SP-23-2894,04/06/2023,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31815,City of Cambridge Combined Sewer Overflows,Cambridge & Vicinity,"Cambridge,MD,21613",Dorchester,Amended Consent Decree,C-6032,02/08/1999,12/17/2014,Surface Water Discharge Unauthorized,Collection System (CSO)
,32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Settlement Agreement,Eisgruber,01/07/2015,01/22/2015,Surface Water Discharge Permit,Industrial Minor
,35223,"Dixie Construction Company, Inc",260 Hopewell Road,"Churchville,MD,21028",Harford,Required Confirmation,Jess Herpel,,10/15/2020,Sediment;Stormwater Management,Industrial Stormwater
,36583,Harford Waste Disposal Center,3243 Scarboro Rd,"Street,MD,21154",Harford,Penalty Settlement,PS-16-2328,10/14/2015,10/29/2015,Notice of Intent,Notice of Intent (Construction)
,38363,Delmarva Power and Light,800 KING ST,"WILMINGTON,DE,19899",Outside of Maryland,Settlement Agreement,Kevin Bull,03/01/2016,03/23/2016,Non-Tidal Wetlands,
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,"Complaint, Order, Penalty",Julie Gowe,07/10/2014,09/09/2015,Sediment;Surface Water Discharge Permit,Industrial Stormwater
,53098,Roy A. Williams,PO Box 254,"Loveville,MD,20656",St. Mary's,Settlement Agreement,Arno Laud,12/11/2015,10/01/2017,Sediment,Notice of Intent (Construction)
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,,SCO-09-0822,,,Not Assigned,
,63954,Cedarhurst - Poplar Ave Subdivision Extension,"U.S. Financial Capital, Inc., ET AL., Poplar Ave, Cedarhurst Subdivision","Shady Side,MD,20764",Anne Arundel,Consent Decree,CJ-09-0767,07/15/2008,07/25/2016,Non-Tidal Wetlands,
,63955,Montchanin Development Group - Ponds Edge,Winner Blvd,"Delmar,MD,21875",Wicomico,,,,,Not Assigned,
,64045,Bernard Weitzell FHO,Old Orchard Rd,"Cresaptown,MD,21502",Allegany,,,,,Not Assigned,
,64064,U5 Foods,MD Rte 331,"Bethlehem,MD,21609",Caroline,Amended Complaint & Penalty,SA-14-2024,05/20/2013,12/24/2013,Sediment,
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Consent Decree,Patrick Noyes,06/30/2015,09/28/2017,Tidal Wetlands,
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,07/13/2016,Not Applicable,
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,07/13/2016,Not Applicable,
,64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,Penalty Settlement,Julie Gowe,03/13/2012,12/10/2012,Sediment,
,64774,Hilltop Mobile Home Park,18120 Henderson Rd,"Marydel,MD,21649",Caroline,Consent Decree,Joe Bieberich,06/06/2012,09/12/2016,Surface Water Discharge Unauthorized,
,64881,MD193 and Kings Valley Drive,MD 193 and Kings Valley Dr,"Mitchellville,MD,20774",Prince George's,Penalty Settlement,Patrick Noyes,09/25/2012,10/22/2012,Notice of Intent,Notice of Intent (Construction)
,65700,Greenway Farm Phase II & III,off Pulaski Hwy,"Havre De Grace,MD,21078",Harford,Consent Decree,CJ-11-1233,09/27/2010,07/13/2016,Sediment,Notice of Intent (Construction)
,66061,166 Pearce Creek Drive,166 Pearce Creek Dr,"Earleville,MD,21919",Cecil,,,,,Not Assigned,
,66114,Violet Rounds,"Map 33, Parcel 138, Lewis Rd","Ocean City,MD,21842",Worcester,,,,,Not Assigned,
,66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Settlement Agreement,SA-13-1869,02/25/2013,04/08/2013,Non-Tidal Wetlands;Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,44639,William L. Tarbutton,3542 Seaman Rd,"Preston,MD,21655",Caroline,Complaint & Penalty,AP-13-1933,05/20/2013,12/24/2013,Sediment,
,44639,William L. Tarbutton,3542 Seaman Rd,"Preston,MD,21655",Caroline,Settlement Agreement,SA-14-2024,11/08/2013,12/24/2013,Sediment,
,63812,Mary Jo and James A. Donohoe III,14605 Banks O'Dee Rd,"Newburg,MD,20664",Charles,Penalty Settlement,,08/12/2009,08/19/2009,Tidal Wetlands,
,63912,JTM Inc./Stoltzfus Pit,28165 Briscoe Anderson Ln,"Mechanicsville,MD,20659",St. Mary's,Site Complaint,,07/18/2008,07/13/2016,Not Applicable,
,64045,Bernard Weitzell FHO,Old Orchard Rd,"Cresaptown,MD,21502",Allegany,,,,,Not Assigned,
,64232,Watkins Park Land LLC-Chambers Estates,Florist Place,"Temple Hills,MD,20748",Prince George's,Penalty Settlement,PS-15-2194,12/23/2014,02/18/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,"Complaint, Order, Penalty",Linda Eisgruber,09/19/2014,07/02/2015,Tidal Wetlands,
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Order of Contempt,CJ-18-2485,08/23/2017,07/30/2019,Tidal Wetlands,
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,07/13/2016,Sediment,
,64659,WeCare Denali,7901 Kabik Ct,"Woodbine,MD,21797",Carroll,Settlement Agreement,Patrick Noyes,03/22/2013,09/26/2016,Sediment;Surface Water Discharge Unauthorized,Industrial Minor
,65180,08-GL-1366 Town of Perryville Meck Property,61 RIVER RD,"Perryville,MD,21903",Cecil,Complaint & Penalty,AP-13-1893,04/05/2013,09/26/2013,Sediment,
,65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Penalty Settlement,,11/06/2013,12/22/2014,Notice of Intent,Notice of Intent (Construction)
,65807,Supertel Limited Partnership Beacon Marina,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,PS-14-1990,08/22/2013,10/01/2013,Surface Water Discharge Unauthorized,Municipal Minor
,65929,17111 Hunter Green Rd,17111 Hunter Green Rd,"Upperco,MD,21155",Baltimore,,,,,Not Assigned,
,66043,Angel Enterprises Limited Partnership,7751 Rollyston Dr,"Saint Michaels,MD,21663",Talbot,Site Complaint,,,,Not Assigned,
,66061,166 Pearce Creek Drive,166 Pearce Creek Dr,"Earleville,MD,21919",Cecil,,,,,Not Assigned,
,66083,Mill Island at Wormans Mill,Mill Island Pkwy,"Frederick,MD,21701",Frederick,Penalty Settlement,C-16-2295,07/28/2015,05/18/2016,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Settlement Agreement,SA-13-1869,02/25/2013,04/08/2013,Non-Tidal Wetlands;Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater
,66464,Chesapeake Ridge Apartments,Marrysville Rd,"North East,MD,21901",Cecil,Settlement Agreement,SAP-14-1997,10/04/2013,11/25/2013,Surface Water Discharge Unauthorized,
,66710,Uplands Apts Demo Sediment Complaint,Edmondson Ave at Swann Ave,"Baltimore,MD,21229",Baltimore City,Settlement Agreement,Julie Gowe,04/23/2013,11/30/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,67979,"John H. Burbage, Jr Property",12541 Ocean Reef Drive,"Berlin,MD,21811",Worcester,Settlement Agreement,SAP-13-1947,06/27/2013,06/27/2013,Sediment,
,68337,Roy McIntyre Farm,"8809 Court House Hill Rd, Somerset County","Pocomoke City,MD,21851",Somerset,,,,,Not Assigned,
,68466,Willow Woods Subdivison,"Willow Woods, Tax map 113, Grid 9, Parcel 285, Willow Lane","La Plata,MD,20646",Charles,Penalty Settlement,C-18-2492,10/31/2017,02/07/2018,Sediment,
,68491,Nancy Chau Bounds,6316 Cabin Creek Rd,"Hurlock,MD,21643",Dorchester,,,,,Not Assigned,
,68538,Disson & Juhn Co,200 Four Season Clubhouse Rd,"Chester,MD,21619",Queen Anne's,Consent Order,SA-18-2534,06/01/2018,06/07/2018,Sediment;Stormwater Management,Industrial Stormwater
,68778,"Calvert Crossings, LLC",Hidden Creek Rd,"Port Republic,MD,20676",Calvert,Penalty Settlement,Arno Laud,06/20/2013,06/21/2013,Notice of Intent,Notice of Intent (Construction)
,138394,TU Campus Utility improvement Linthicum Dr,Linthicum Dr and University Ave,"Towson,MD,21204",Baltimore,Penalty Settlement,PS-13-1809,12/06/2012,12/06/2012,Sediment,
,138487,Lakewood Estates,Behind homes 12635 through 12645 Willow View Place,"Waldorf,MD,20602",Charles,Penalty Settlement,,11/13/2012,12/13/2012,Non-Tidal Wetlands,
,138532,Miller Bottom Ocean Hill Rd,"Miller Bottom Ocean Hill Rd, off Rt.36 south","Midland,MD,21542",Allegany,Penalty Settlement,PS-13-1785,10/17/2012,11/26/2012,Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater
,138536,Joseph Schmidt,4536 Oakland Sang Run Road,"Oakland,MD,21550",Garrett,Settlement Agreement,SA-13-1880,03/20/2013,04/02/2013,Non-Tidal Wetlands;Sediment;Waterway Construction,
,138575,Pitt Ohio Express Inc,151 Blades Ln,"Glen Burnie,MD,21061",Anne Arundel,Penalty Settlement,Julie Gowe,06/10/2014,07/01/2014,Surface Water Discharge Unauthorized,Industrial Minor
,138575,Pitt Ohio Express Inc,151 Blades Ln,"Glen Burnie,MD,21061",Anne Arundel,Penalty Settlement,PS-14-2097,06/10/2014,07/01/2014,Surface Water Discharge Unauthorized,Industrial Minor
,139894,OceanPinesGolfClub/Hole11,"100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811",Worcester,Penalty Settlement,PS-13-1921,03/21/2013,06/04/2013,Sediment,
,140528,4020 North Point Blvd,4020 North Point Blvd,"Dundalk,MD,21222",Baltimore,Penalty Settlement,PS-14-1979,08/06/2013,08/06/2013,Notice of Intent,Notice of Intent (Construction)
,140577,Oxon Hill Village SSO,5792 Virginia Ave,"Oxon Hill,MD,20745",Prince George's,Complaint & Penalty,SAP-15-2214,12/15/2014,03/02/2015,Sediment;Surface Water Discharge Unauthorized,Municipal Minor
,141292,Autumn Woods,"Lofton Hill Rd, off Prospect Hill Rd","La Plata,MD,20646",Charles,Penalty Settlement,PS-15-2145,09/15/2014,09/15/2014,Notice of Intent,Notice of Intent (Construction)
,141767,MD DNR-North Point State Battlefield Park,8400 North Point Rd,"Edgemere,MD,21219",Baltimore,Penalty Settlement,PS-15-2243,03/31/2015,05/11/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,141885,1023 Reece Rd,1023 Reece Rd,"Severn,MD,21144",Anne Arundel,Penalty Settlement,PS-15-2236,03/13/2015,05/13/2015,Notice of Intent,Notice of Intent (Construction)
,142234,WRF & Son Port-a-Potty,4 Prospect Rd,"Mount Airy,MD,21771",Frederick,Settlement Agreement,Eisgruber,09/09/2014,02/29/2016,Surface Water Discharge Unauthorized,
,142387,Hanover Crossing,7460 New Ridge Rd,"Hanover,MD,21076",Anne Arundel,Penalty Settlement,C-14-2087,05/08/2014,05/27/2014,Notice of Intent,Notice of Intent (Construction)
,143629,"WSSC - Improper dewatering of sediment from a 60"" Steel Sleeve Water Main","14501 Sweitzer Lane, I-95 SB directly E of WSSC Headquarters","Laurel,MD,20707",Prince George's,Penalty Settlement,C-15-2120,07/18/2014,08/16/2014,Sediment,
,143924,Ijamsville Farmland Reclamation Project LLLP,9611 Reichs Ford Rd,"Ijamsville,MD,21754",Frederick,Consent Order,CO-16-2301,08/20/2015,,Waterway Construction,
,144574,3901 Twin Arch Rd wetland and floodplain fill,3901 Twin Arch Road,"Mount Airy,MD,21771",Frederick,Administrative Order,AOP-15-2263,06/05/2015,09/29/2015,Non-Tidal Wetlands;Sediment;Waterway Construction,
,144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501",Allegany,Consent Decree,Lenn Roberts,08/06/2013,,Surface Water Discharge Permit,Industrial Minor
,145258,Genesis Healthcare Facility,"251 Ballenger Center Dr, Genesis Healthcare","Frederick,MD,21703",Frederick,Penalty Settlement,PS-15-2222,02/24/2015,03/17/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,PS-19-2558,11/05/2018,11/29/2018,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
,145993,Burdick Hall Expansion,"Union Ave, 39.394693 -76.612176","Towson,MD,21204",Baltimore,Penalty Settlement,C-17-2414,07/28/2016,08/24/2016,Sediment,
,146193,MPA - Hawkins Point Landfill Area 5 Cap Replacement,39.210509 -76.552105,"Baltimore,MD,21226",Baltimore,Penalty Settlement,C-16-2349,12/11/2015,01/12/2016,Sediment,
,146223,Aspen Rd. & Amaranth Rd.,"Aspen Rd-Aster Rd-AmaranthRd, 38.508785, -76.509158","Port Republic,MD,20676",Calvert,Penalty Settlement,C-15-2239,04/03/2015,04/28/2015,Sediment,
,146313,Blue Heron Estates,2874 Glen Isle Road,"Riva,MD,21140",Anne Arundel,Penalty Settlement,PS-15-2268,06/04/2015,07/15/2016,Notice of Intent,Notice of Intent (Construction)
,99881,Mark Vogel Co/vogel Charlotte Hall/swm,FRNTS E OF RT 5 & N OF MOUNT WOLF RD,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,Arno Laud,01/27/2014,08/27/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,102438,Town Of Westernport/cso Elimination,Main Street,"Westernport,MD,21562",Allegany,Consent Decree,01-C-00-018487-L,09/06/2002,,Surface Water Discharge Unauthorized,
,103186,Greensboro Regional WWTP,near MD Rte 313 & MD Rte 480,"Greensboro,MD,21639",Caroline,Required Confirmation,Jess Herpel,02/13/2020,02/25/2020,Surface Water Discharge Permit,Municipal Minor
,103606,"Remmers, Jerome",12015 Woodbury Road,"Nanjemoy,MD,20662",Charles,Penalty Settlement,PS -13-1714,07/11/2012,08/06/2012,Tidal Wetlands,
,105154,Victoria Station/lake Victoria/embnkment,LAKE SHORE DRIVE; VICTORIA STATION COMM,"Owings,MD",Calvert,Penalty Settlement,SAP-13-1752,09/13/2012,01/02/2013,Sediment,
,105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,Settlement Agreement,16-WL-1094,01/29/2018,02/09/2018,Tidal Wetlands,
,107215,"Bldgs 9701, 9703, & 9705 Secondary Unit Substation Replacement",39.097806 -76.763167,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-18-2514,03/09/2018,03/28/2018,Sediment,
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,Eisgruber,12/21/2012,08/26/2013,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Notice of Intent (Construction)
,123524,Greenland Beach Yacht Basin,430 Greenland Beach Rd,"Baltimore,MD,21226",Anne Arundel,Settlement Agreement,Arno Laud,03/06/2014,02/05/2015,Surface Water Discharge Unauthorized,
,124515,Herrington Harbour Inc,7149 Lake Shore Drive,"North Beach,MD,20714",Anne Arundel,Penalty Settlement,PS-15-2235,03/20/2015,05/06/2015,Tidal Wetlands,
,126393,Bc Rec  And  Parks/jones Falls Trail:clipper,CLIPPER RD TO CYLBURN ARBORETUM,"Baltimore City,MD",Baltimore City,Penalty Settlement,PS-13-1819,12/26/2012,01/08/2013,Notice of Intent,Notice of Intent (Construction)
,128427,Gary Salisbury and Elizabeth Hight,2021 Indian Circle,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-14-2053,01/29/2014,02/05/2014,Tidal Wetlands,
,128507,Fort Meade Apartments & Neighborhhod Center,39.105763 -76.742220,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-13-1807,10/22/2013,11/15/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,,,,,Not Assigned,
,129215,Fowler Land Development,Lots 4R and 5R,"Solomons,MD,20688",Calvert,Settlement Agreement,SA-13-1788,10/31/2012,09/14/2014,Tidal Wetlands,
,129215,Fowler Land Development,Lots 4R and 5R,"Solomons,MD,20688",Calvert,Settlement Agreement,SA-13-1788,11/13/2012,04/21/2014,Tidal Wetlands,
,129835,"Boyersmith, James & Albright, Carrie",2960 J St,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,PS-13-1937,05/15/2013,06/03/2013,Tidal Wetlands,
,130196,Walgreens Drug Store @ Kent Island,MD Rte 18 and Dominion Rd,"Chester,MD,21619",Queen Anne's,Penalty Settlement,Julie Gowe,06/08/2011,07/01/2011,Sediment,
,130284,American Tower Corp/Bivalve Site,22260 Capitola Rd,"Tyaskin,MD,21865",Wicomico,Penalty Settlement,SA-13-1815,12/11/2012,03/26/2013,Non-Tidal Wetlands;Sediment,
,130779,MD DNR-Bishopville Dam Removal & Stream Corridor Enhancement Project,MD 367 at Bishopville Pond,"Bishopville,MD,21813",Worcester,Penalty Settlement,Julie Gowe,02/03/2015,02/24/2015,Non-Tidal Wetlands;Sediment,
,130987,Turnbury Run,1728 Disney Rd,"Severn,MD,21144",Anne Arundel,Penalty Settlement,PS-16-2299,08/06/2015,09/16/2015,Notice of Intent,Notice of Intent (Construction)
,131031,4764 Williams Wharf Rd,4764 Williams Wharf Road,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-15-2125,08/04/2014,09/18/2014,Tidal Wetlands,
,131371,Stream Filling Collington trib,4707 Church Road,"Bowie,MD,20720",Prince George's,,,,,Not Assigned,
,131570,Architect of the Capitol/Andrews Federal Campus,4317 Forestville Rd,"District Heights,MD,20747",Prince George's,Penalty Settlement,C-16-2338,11/17/2015,01/14/2016,Notice of Intent;Sediment,Notice of Intent (Construction)
,131591,Mark and Heather Mudd,10720 Mount Victoria Rd,"Newburg,MD,20664",Charles,Consent Order,COP-13-1917,04/23/2013,06/05/2013,Tidal Wetlands,
,131963,John Ernst,2531 Beckleysville Rd,"Freeland,MD,21053",Baltimore,Penalty Settlement,PS-13-1710,11/07/2012,11/07/2012,Sediment,
,66257,Conowingo Mobile Home Court,124 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Amended Consent Decree,CJ-15-2202,01/06/2015,03/09/2018,Groundwater Discharge Unauthorized,Municipal Minor
,66316,Larry Guthrie Forest Harvest,11611 Vale Summit Rd,"Frostburg,MD,21532",Allegany,,,,,Not Assigned,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,67044,Anton Spiering NTW,Boyce Mill Rd,"Greensboro,MD,21636",Caroline,,,,,Not Assigned,
,67337,Armour Farms Inc.,2100 Biggs Hwy.,"Rising Sun,MD,21911",Cecil,,,,,Not Assigned,
,67337,Armour Farms Inc.,2100 Biggs Hwy.,"Rising Sun,MD,21911",Cecil,"Complaint, Order, Penalty",Eisgruber,03/11/2010,01/04/2011,Notice of Intent;Sediment,Notice of Intent (Construction)
,67596,Project - AAFB Strategic Planning and Development Facility,California Ave,"Andrews Airforce Base,MD,20762",Prince George's,,,,,Not Assigned,
,67897,"Artery - Beazer Clarksburg, LLC - Greenway Village at Clarksburg",Skylark Rd and (MD 27)Ridge Rd Intersection,"Clarksburg,MD,20871",Montgomery,Consent Decree,JCD-11-1310,02/10/2011,07/18/2016,Sediment,Notice of Intent (Construction)
,68002,Project - AAFB- Bldg 1535,Alabama Drive and Arkansas Rd,"Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,PS-14-2045,12/23/2013,01/28/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,68106,Norris Taylor Property off Nixon Road,Nixon Road,"Easton,MD,21601",Talbot,,,,,Not Assigned,
,68337,Roy McIntyre Farm,"8809 Court House Hill Rd, Somerset County","Pocomoke City,MD,21851",Somerset,,,,,Not Assigned,
,68375,Bel Air Service Center,"16010 McMullen Hwy, SW","Cumberland,MD,21502",Allegany,,,,,Not Assigned,
,68479,Byron and Marie Nashold,6119 Twin Point Cove Rd,"Cambridge,MD,21613",Dorchester,Consent Order,CO-14-2061,03/06/2014,11/01/2015,Sediment,
,68505,Washington Overlook,"2511 Washington Overlook Dr, Ste B","Fort Washington,MD,20744",Prince George's,,,,,Not Assigned,
