document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,53098,Roy A. Williams,PO Box 254,"Loveville,MD,20656",St. Mary's,Settlement Agreement,Arno Laud,2015-12-11,2017-10-01,Sediment,Notice of Intent (Construction),st-mary-s,roy-a-williams
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,,SCO-09-0822,,,Not Assigned,,cecil,red-hill-lots-1-84-phase-2-ben-blvd-and-erin-court-lots-18-56
,63954,Cedarhurst - Poplar Ave Subdivision Extension,"U.S. Financial Capital, Inc., ET AL., Poplar Ave, Cedarhurst Subdivision","Shady Side,MD,20764",Anne Arundel,Consent Decree,CJ-09-0767,2008-07-15,2016-07-25,Non-Tidal Wetlands,,anne-arundel,cedarhurst-poplar-ave-subdivision-extension
,63955,Montchanin Development Group - Ponds Edge,Winner Blvd,"Delmar,MD,21875",Wicomico,,,,,Not Assigned,,wicomico,montchanin-development-group-ponds-edge
,64045,Bernard Weitzell FHO,Old Orchard Rd,"Cresaptown,MD,21502",Allegany,,,,,Not Assigned,,allegany,bernard-weitzell-fho
,64064,U5 Foods,MD Rte 331,"Bethlehem,MD,21609",Caroline,Amended Complaint & Penalty,SA-14-2024,2013-05-20,2013-12-24,Sediment,,caroline,u5-foods
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Consent Decree,Patrick Noyes,2015-06-30,2017-09-28,Tidal Wetlands,,calvert,vera-s-white-sands-beach-club
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,2016-07-13,Not Applicable,,calvert,oak-tree-landing
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,2016-07-13,Not Applicable,,calvert,oak-tree-landing
,64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,Penalty Settlement,Julie Gowe,2012-03-13,2012-12-10,Sediment,,wicomico,heron-ponds
,64774,Hilltop Mobile Home Park,18120 Henderson Rd,"Marydel,MD,21649",Caroline,Consent Decree,Joe Bieberich,2012-06-06,2016-09-12,Surface Water Discharge Unauthorized,,caroline,hilltop-mobile-home-park
,64881,MD193 and Kings Valley Drive,MD 193 and Kings Valley Dr,"Mitchellville,MD,20774",Prince George's,Penalty Settlement,Patrick Noyes,2012-09-25,2012-10-22,Notice of Intent,Notice of Intent (Construction),prince-george-s,md193-and-kings-valley-drive
,65700,Greenway Farm Phase II & III,off Pulaski Hwy,"Havre De Grace,MD,21078",Harford,Consent Decree,CJ-11-1233,2010-09-27,2016-07-13,Sediment,Notice of Intent (Construction),harford,greenway-farm-phase-ii-iii
,66061,166 Pearce Creek Drive,166 Pearce Creek Dr,"Earleville,MD,21919",Cecil,,,,,Not Assigned,,cecil,166-pearce-creek-drive
,66114,Violet Rounds,"Map 33, Parcel 138, Lewis Rd","Ocean City,MD,21842",Worcester,,,,,Not Assigned,,worcester,violet-rounds
,66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Settlement Agreement,SA-13-1869,2013-02-25,2013-04-08,Non-Tidal Wetlands;Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),anne-arundel,bronson-contracting-inc
,44639,William L. Tarbutton,3542 Seaman Rd,"Preston,MD,21655",Caroline,Complaint & Penalty,AP-13-1933,2013-05-20,2013-12-24,Sediment,,caroline,william-l-tarbutton
,44639,William L. Tarbutton,3542 Seaman Rd,"Preston,MD,21655",Caroline,Settlement Agreement,SA-14-2024,2013-11-08,2013-12-24,Sediment,,caroline,william-l-tarbutton
,63812,Mary Jo and James A. Donohoe III,14605 Banks O'Dee Rd,"Newburg,MD,20664",Charles,Penalty Settlement,,2009-08-12,2009-08-19,Tidal Wetlands,,charles,mary-jo-and-james-a-donohoe-iii
,63912,JTM Inc./Stoltzfus Pit,28165 Briscoe Anderson Ln,"Mechanicsville,MD,20659",St. Mary's,Site Complaint,,2008-07-18,2016-07-13,Not Applicable,,st-mary-s,jtm-inc-stoltzfus-pit
,64045,Bernard Weitzell FHO,Old Orchard Rd,"Cresaptown,MD,21502",Allegany,,,,,Not Assigned,,allegany,bernard-weitzell-fho
,64232,Watkins Park Land LLC-Chambers Estates,Florist Place,"Temple Hills,MD,20748",Prince George's,Penalty Settlement,PS-15-2194,2014-12-23,2015-02-18,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,watkins-park-land-llc-chambers-estates
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,"Complaint, Order, Penalty",Linda Eisgruber,2014-09-19,2015-07-02,Tidal Wetlands,,calvert,vera-s-white-sands-beach-club
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Order of Contempt,CJ-18-2485,2017-08-23,2019-07-30,Tidal Wetlands,,calvert,vera-s-white-sands-beach-club
,64322,Oak Tree Landing,Silverwood Lane,"Prince Frederick,MD,20678",Calvert,Site Complaint,,,2016-07-13,Sediment,,calvert,oak-tree-landing
,64659,WeCare Denali,7901 Kabik Ct,"Woodbine,MD,21797",Carroll,Settlement Agreement,Patrick Noyes,2013-03-22,2016-09-26,Sediment;Surface Water Discharge Unauthorized,Industrial Minor,carroll,wecare-denali
,65180,08-GL-1366 Town of Perryville Meck Property,61 RIVER RD,"Perryville,MD,21903",Cecil,Complaint & Penalty,AP-13-1893,2013-04-05,2013-09-26,Sediment,,cecil,08-gl-1366-town-of-perryville-meck-property
,65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Penalty Settlement,,2013-11-06,2014-12-22,Notice of Intent,Notice of Intent (Construction),st-mary-s,wildewood-retirement-village
,65807,Supertel Limited Partnership Beacon Marina,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,PS-14-1990,2013-08-22,2013-10-01,Surface Water Discharge Unauthorized,Municipal Minor,calvert,supertel-limited-partnership-beacon-marina
,65929,17111 Hunter Green Rd,17111 Hunter Green Rd,"Upperco,MD,21155",Baltimore,,,,,Not Assigned,,baltimore,17111-hunter-green-rd
,66043,Angel Enterprises Limited Partnership,7751 Rollyston Dr,"Saint Michaels,MD,21663",Talbot,Site Complaint,,,,Not Assigned,,talbot,angel-enterprises-limited-partnership
,66061,166 Pearce Creek Drive,166 Pearce Creek Dr,"Earleville,MD,21919",Cecil,,,,,Not Assigned,,cecil,166-pearce-creek-drive
,66083,Mill Island at Wormans Mill,Mill Island Pkwy,"Frederick,MD,21701",Frederick,Penalty Settlement,C-16-2295,2015-07-28,2016-05-18,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),frederick,mill-island-at-wormans-mill
,66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Settlement Agreement,SA-13-1869,2013-02-25,2013-04-08,Non-Tidal Wetlands;Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater,anne-arundel,bronson-contracting-inc
,66464,Chesapeake Ridge Apartments,Marrysville Rd,"North East,MD,21901",Cecil,Settlement Agreement,SAP-14-1997,2013-10-04,2013-11-25,Surface Water Discharge Unauthorized,,cecil,chesapeake-ridge-apartments
,66710,Uplands Apts Demo Sediment Complaint,Edmondson Ave at Swann Ave,"Baltimore,MD,21229",Baltimore City,Settlement Agreement,Julie Gowe,2013-04-23,2013-11-30,Notice of Intent;Sediment,Notice of Intent (Construction),baltimore-city,uplands-apts-demo-sediment-complaint
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,,somerset,matthew-hungerford-property-25840-rumbley-rd-somerset-co
,67979,"John H. Burbage, Jr Property",12541 Ocean Reef Drive,"Berlin,MD,21811",Worcester,Settlement Agreement,SAP-13-1947,2013-06-27,2013-06-27,Sediment,,worcester,john-h-burbage-jr-property
,68337,Roy McIntyre Farm,"8809 Court House Hill Rd, Somerset County","Pocomoke City,MD,21851",Somerset,,,,,Not Assigned,,somerset,roy-mcintyre-farm
,68466,Willow Woods Subdivison,"Willow Woods, Tax map 113, Grid 9, Parcel 285, Willow Lane","La Plata,MD,20646",Charles,Penalty Settlement,C-18-2492,2017-10-31,2018-02-07,Sediment,,charles,willow-woods-subdivison
,68491,Nancy Chau Bounds,6316 Cabin Creek Rd,"Hurlock,MD,21643",Dorchester,,,,,Not Assigned,,dorchester,nancy-chau-bounds
,68538,Disson & Juhn Co,200 Four Season Clubhouse Rd,"Chester,MD,21619",Queen Anne's,Consent Order,SA-18-2534,2018-06-01,2018-06-07,Sediment;Stormwater Management,Industrial Stormwater,queen-anne-s,disson-juhn-co
,68778,"Calvert Crossings, LLC",Hidden Creek Rd,"Port Republic,MD,20676",Calvert,Penalty Settlement,Arno Laud,2013-06-20,2013-06-21,Notice of Intent,Notice of Intent (Construction),calvert,calvert-crossings-llc
,138394,TU Campus Utility improvement Linthicum Dr,Linthicum Dr and University Ave,"Towson,MD,21204",Baltimore,Penalty Settlement,PS-13-1809,2012-12-06,2012-12-06,Sediment,,baltimore,tu-campus-utility-improvement-linthicum-dr
,138487,Lakewood Estates,Behind homes 12635 through 12645 Willow View Place,"Waldorf,MD,20602",Charles,Penalty Settlement,,2012-11-13,2012-12-13,Non-Tidal Wetlands,,charles,lakewood-estates
,138532,Miller Bottom Ocean Hill Rd,"Miller Bottom Ocean Hill Rd, off Rt.36 south","Midland,MD,21542",Allegany,Penalty Settlement,PS-13-1785,2012-10-17,2012-11-26,Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater,allegany,miller-bottom-ocean-hill-rd
,138536,Joseph Schmidt,4536 Oakland Sang Run Road,"Oakland,MD,21550",Garrett,Settlement Agreement,SA-13-1880,2013-03-20,2013-04-02,Non-Tidal Wetlands;Sediment;Waterway Construction,,garrett,joseph-schmidt
,138575,Pitt Ohio Express Inc,151 Blades Ln,"Glen Burnie,MD,21061",Anne Arundel,Penalty Settlement,Julie Gowe,2014-06-10,2014-07-01,Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel,pitt-ohio-express-inc
,138575,Pitt Ohio Express Inc,151 Blades Ln,"Glen Burnie,MD,21061",Anne Arundel,Penalty Settlement,PS-14-2097,2014-06-10,2014-07-01,Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel,pitt-ohio-express-inc
,139894,OceanPinesGolfClub/Hole11,"100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811",Worcester,Penalty Settlement,PS-13-1921,2013-03-21,2013-06-04,Sediment,,worcester,oceanpinesgolfclub-hole11
,140528,4020 North Point Blvd,4020 North Point Blvd,"Dundalk,MD,21222",Baltimore,Penalty Settlement,PS-14-1979,2013-08-06,2013-08-06,Notice of Intent,Notice of Intent (Construction),baltimore,4020-north-point-blvd
,140577,Oxon Hill Village SSO,5792 Virginia Ave,"Oxon Hill,MD,20745",Prince George's,Complaint & Penalty,SAP-15-2214,2014-12-15,2015-03-02,Sediment;Surface Water Discharge Unauthorized,Municipal Minor,prince-george-s,oxon-hill-village-sso
,141292,Autumn Woods,"Lofton Hill Rd, off Prospect Hill Rd","La Plata,MD,20646",Charles,Penalty Settlement,PS-15-2145,2014-09-15,2014-09-15,Notice of Intent,Notice of Intent (Construction),charles,autumn-woods
,141767,MD DNR-North Point State Battlefield Park,8400 North Point Rd,"Edgemere,MD,21219",Baltimore,Penalty Settlement,PS-15-2243,2015-03-31,2015-05-11,Notice of Intent;Sediment,Notice of Intent (Construction),baltimore,md-dnr-north-point-state-battlefield-park
,141885,1023 Reece Rd,1023 Reece Rd,"Severn,MD,21144",Anne Arundel,Penalty Settlement,PS-15-2236,2015-03-13,2015-05-13,Notice of Intent,Notice of Intent (Construction),anne-arundel,1023-reece-rd
,142234,WRF & Son Port-a-Potty,4 Prospect Rd,"Mount Airy,MD,21771",Frederick,Settlement Agreement,Eisgruber,2014-09-09,2016-02-29,Surface Water Discharge Unauthorized,,frederick,wrf-son-port-a-potty
,142387,Hanover Crossing,7460 New Ridge Rd,"Hanover,MD,21076",Anne Arundel,Penalty Settlement,C-14-2087,2014-05-08,2014-05-27,Notice of Intent,Notice of Intent (Construction),anne-arundel,hanover-crossing
,143629,"WSSC - Improper dewatering of sediment from a 60"" Steel Sleeve Water Main","14501 Sweitzer Lane, I-95 SB directly E of WSSC Headquarters","Laurel,MD,20707",Prince George's,Penalty Settlement,C-15-2120,2014-07-18,2014-08-16,Sediment,,prince-george-s,wssc-improper-dewatering-of-sediment-from-a-60-steel-sleeve-water-main
,143924,Ijamsville Farmland Reclamation Project LLLP,9611 Reichs Ford Rd,"Ijamsville,MD,21754",Frederick,Consent Order,CO-16-2301,2015-08-20,,Waterway Construction,,frederick,ijamsville-farmland-reclamation-project-lllp
,144574,3901 Twin Arch Rd wetland and floodplain fill,3901 Twin Arch Road,"Mount Airy,MD,21771",Frederick,Administrative Order,AOP-15-2263,2015-06-05,2015-09-29,Non-Tidal Wetlands;Sediment;Waterway Construction,,frederick,3901-twin-arch-rd-wetland-and-floodplain-fill
,144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501",Allegany,Consent Decree,Lenn Roberts,2013-08-06,,Surface Water Discharge Permit,Industrial Minor,allegany,fibred-maryland-inc
,145258,Genesis Healthcare Facility,"251 Ballenger Center Dr, Genesis Healthcare","Frederick,MD,21703",Frederick,Penalty Settlement,PS-15-2222,2015-02-24,2015-03-17,Notice of Intent;Sediment,Notice of Intent (Construction),frederick,genesis-healthcare-facility
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,PS-19-2558,2018-11-05,2018-11-29,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,joint-base-andrews-naval-air-facility
,145993,Burdick Hall Expansion,"Union Ave, 39.394693 -76.612176","Towson,MD,21204",Baltimore,Penalty Settlement,C-17-2414,2016-07-28,2016-08-24,Sediment,,baltimore,burdick-hall-expansion
,146193,MPA - Hawkins Point Landfill Area 5 Cap Replacement,39.210509 -76.552105,"Baltimore,MD,21226",Baltimore,Penalty Settlement,C-16-2349,2015-12-11,2016-01-12,Sediment,,baltimore,mpa-hawkins-point-landfill-area-5-cap-replacement
,146223,Aspen Rd. & Amaranth Rd.,"Aspen Rd-Aster Rd-AmaranthRd, 38.508785, -76.509158","Port Republic,MD,20676",Calvert,Penalty Settlement,C-15-2239,2015-04-03,2015-04-28,Sediment,,calvert,aspen-rd-amaranth-rd
,146313,Blue Heron Estates,2874 Glen Isle Road,"Riva,MD,21140",Anne Arundel,Penalty Settlement,PS-15-2268,2015-06-04,2016-07-15,Notice of Intent,Notice of Intent (Construction),anne-arundel,blue-heron-estates
,99881,Mark Vogel Co/vogel Charlotte Hall/swm,FRNTS E OF RT 5 & N OF MOUNT WOLF RD,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,Arno Laud,2014-01-27,2015-08-27,Notice of Intent;Sediment,Notice of Intent (Construction),st-mary-s,mark-vogel-co-vogel-charlotte-hall-swm
,102438,Town Of Westernport/cso Elimination,Main Street,"Westernport,MD,21562",Allegany,Consent Decree,01-C-00-018487-L,2002-09-06,,Surface Water Discharge Unauthorized,,allegany,town-of-westernport-cso-elimination
,103186,Greensboro Regional WWTP,near MD Rte 313 & MD Rte 480,"Greensboro,MD,21639",Caroline,Required Confirmation,Jess Herpel,2020-02-13,2020-02-25,Surface Water Discharge Permit,Municipal Minor,caroline,greensboro-regional-wwtp
,103606,"Remmers, Jerome",12015 Woodbury Road,"Nanjemoy,MD,20662",Charles,Penalty Settlement,PS -13-1714,2012-07-11,2012-08-06,Tidal Wetlands,,charles,remmers-jerome
,105154,Victoria Station/lake Victoria/embnkment,LAKE SHORE DRIVE; VICTORIA STATION COMM,"Owings,MD",Calvert,Penalty Settlement,SAP-13-1752,2012-09-13,2013-01-02,Sediment,,calvert,victoria-station-lake-victoria-embnkment
,105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,Settlement Agreement,16-WL-1094,2018-01-29,2018-02-09,Tidal Wetlands,,calvert,town-of-chesapeake-beach-fishing-creek
,107215,"Bldgs 9701, 9703, & 9705 Secondary Unit Substation Replacement",39.097806 -76.763167,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-18-2514,2018-03-09,2018-03-28,Sediment,,anne-arundel,bldgs-9701-9703-9705-secondary-unit-substation-replacement
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,Eisgruber,2012-12-21,2013-08-26,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Notice of Intent (Construction),charles,mona-scott-port-tobacco-marina-dredging
,123524,Greenland Beach Yacht Basin,430 Greenland Beach Rd,"Baltimore,MD,21226",Anne Arundel,Settlement Agreement,Arno Laud,2014-03-06,2015-02-05,Surface Water Discharge Unauthorized,,anne-arundel,greenland-beach-yacht-basin
,124515,Herrington Harbour Inc,7149 Lake Shore Drive,"North Beach,MD,20714",Anne Arundel,Penalty Settlement,PS-15-2235,2015-03-20,2015-05-06,Tidal Wetlands,,anne-arundel,herrington-harbour-inc
,126393,Bc Rec  And  Parks/jones Falls Trail:clipper,CLIPPER RD TO CYLBURN ARBORETUM,"Baltimore City,MD",Baltimore City,Penalty Settlement,PS-13-1819,2012-12-26,2013-01-08,Notice of Intent,Notice of Intent (Construction),baltimore-city,bc-rec-and-parks-jones-falls-trail-clipper
,128427,Gary Salisbury and Elizabeth Hight,2021 Indian Circle,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-14-2053,2014-01-29,2014-02-05,Tidal Wetlands,,calvert,gary-salisbury-and-elizabeth-hight
,128507,Fort Meade Apartments & Neighborhhod Center,39.105763 -76.742220,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-13-1807,2013-10-22,2013-11-15,Notice of Intent;Sediment,Notice of Intent (Construction),anne-arundel,fort-meade-apartments-neighborhhod-center
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,,,,,Not Assigned,,prince-george-s,birdlawn-llc-rd-xings-swm-pond-and
,129215,Fowler Land Development,Lots 4R and 5R,"Solomons,MD,20688",Calvert,Settlement Agreement,SA-13-1788,2012-10-31,2014-09-14,Tidal Wetlands,,calvert,fowler-land-development
,129215,Fowler Land Development,Lots 4R and 5R,"Solomons,MD,20688",Calvert,Settlement Agreement,SA-13-1788,2012-11-13,2014-04-21,Tidal Wetlands,,calvert,fowler-land-development
,129835,"Boyersmith, James & Albright, Carrie",2960 J St,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,PS-13-1937,2013-05-15,2013-06-03,Tidal Wetlands,,calvert,boyersmith-james-albright-carrie
,130196,Walgreens Drug Store @ Kent Island,MD Rte 18 and Dominion Rd,"Chester,MD,21619",Queen Anne's,Penalty Settlement,Julie Gowe,2011-06-08,2011-07-01,Sediment,,queen-anne-s,walgreens-drug-store-kent-island
,130284,American Tower Corp/Bivalve Site,22260 Capitola Rd,"Tyaskin,MD,21865",Wicomico,Penalty Settlement,SA-13-1815,2012-12-11,2013-03-26,Non-Tidal Wetlands;Sediment,,wicomico,american-tower-corp-bivalve-site
,130779,MD DNR-Bishopville Dam Removal & Stream Corridor Enhancement Project,MD 367 at Bishopville Pond,"Bishopville,MD,21813",Worcester,Penalty Settlement,Julie Gowe,2015-02-03,2015-02-24,Non-Tidal Wetlands;Sediment,,worcester,md-dnr-bishopville-dam-removal-stream-corridor-enhancement-project
,130987,Turnbury Run,1728 Disney Rd,"Severn,MD,21144",Anne Arundel,Penalty Settlement,PS-16-2299,2015-08-06,2015-09-16,Notice of Intent,Notice of Intent (Construction),anne-arundel,turnbury-run
,131031,4764 Williams Wharf Rd,4764 Williams Wharf Road,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-15-2125,2014-08-04,2014-09-18,Tidal Wetlands,,calvert,4764-williams-wharf-rd
,131371,Stream Filling Collington trib,4707 Church Road,"Bowie,MD,20720",Prince George's,,,,,Not Assigned,,prince-george-s,stream-filling-collington-trib
,131570,Architect of the Capitol/Andrews Federal Campus,4317 Forestville Rd,"District Heights,MD,20747",Prince George's,Penalty Settlement,C-16-2338,2015-11-17,2016-01-14,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,architect-of-the-capitol-andrews-federal-campus
,131591,Mark and Heather Mudd,10720 Mount Victoria Rd,"Newburg,MD,20664",Charles,Consent Order,COP-13-1917,2013-04-23,2013-06-05,Tidal Wetlands,,charles,mark-and-heather-mudd
,131963,John Ernst,2531 Beckleysville Rd,"Freeland,MD,21053",Baltimore,Penalty Settlement,PS-13-1710,2012-11-07,2012-11-07,Sediment,,baltimore,john-ernst
,66257,Conowingo Mobile Home Court,124 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Amended Consent Decree,CJ-15-2202,2015-01-06,2018-03-09,Groundwater Discharge Unauthorized,Municipal Minor,cecil,conowingo-mobile-home-court
,66316,Larry Guthrie Forest Harvest,11611 Vale Summit Rd,"Frostburg,MD,21532",Allegany,,,,,Not Assigned,,allegany,larry-guthrie-forest-harvest
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,,somerset,matthew-hungerford-property-25840-rumbley-rd-somerset-co
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,,somerset,matthew-hungerford-property-25840-rumbley-rd-somerset-co
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,,somerset,matthew-hungerford-property-25840-rumbley-rd-somerset-co
,67044,Anton Spiering NTW,Boyce Mill Rd,"Greensboro,MD,21636",Caroline,,,,,Not Assigned,,caroline,anton-spiering-ntw
,67337,Armour Farms Inc.,2100 Biggs Hwy.,"Rising Sun,MD,21911",Cecil,,,,,Not Assigned,,cecil,armour-farms-inc
,67337,Armour Farms Inc.,2100 Biggs Hwy.,"Rising Sun,MD,21911",Cecil,"Complaint, Order, Penalty",Eisgruber,2010-03-11,2011-01-04,Notice of Intent;Sediment,Notice of Intent (Construction),cecil,armour-farms-inc
,67596,Project - AAFB Strategic Planning and Development Facility,California Ave,"Andrews Airforce Base,MD,20762",Prince George's,,,,,Not Assigned,,prince-george-s,project-aafb-strategic-planning-and-development-facility
,67897,"Artery - Beazer Clarksburg, LLC - Greenway Village at Clarksburg",Skylark Rd and (MD 27)Ridge Rd Intersection,"Clarksburg,MD,20871",Montgomery,Consent Decree,JCD-11-1310,2011-02-10,2016-07-18,Sediment,Notice of Intent (Construction),montgomery,artery-beazer-clarksburg-llc-greenway-village-at-clarksburg
,68002,Project - AAFB- Bldg 1535,Alabama Drive and Arkansas Rd,"Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,PS-14-2045,2013-12-23,2014-01-28,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,project-aafb-bldg-1535
,68106,Norris Taylor Property off Nixon Road,Nixon Road,"Easton,MD,21601",Talbot,,,,,Not Assigned,,talbot,norris-taylor-property-off-nixon-road
,68337,Roy McIntyre Farm,"8809 Court House Hill Rd, Somerset County","Pocomoke City,MD,21851",Somerset,,,,,Not Assigned,,somerset,roy-mcintyre-farm
,68375,Bel Air Service Center,"16010 McMullen Hwy, SW","Cumberland,MD,21502",Allegany,,,,,Not Assigned,,allegany,bel-air-service-center
,68479,Byron and Marie Nashold,6119 Twin Point Cove Rd,"Cambridge,MD,21613",Dorchester,Consent Order,CO-14-2061,2014-03-06,2015-11-01,Sediment,,dorchester,byron-and-marie-nashold
,68505,Washington Overlook,"2511 Washington Overlook Dr, Ste B","Fort Washington,MD,20744",Prince George's,,,,,Not Assigned,,prince-george-s,washington-overlook
,68582,Kaufmann/Ketter property,4116 Shoreham Beach Rd,"Mayo,MD,21106",Anne Arundel,"Complaint, Order, Penalty",Arno Laud,2013-08-05,2018-10-24,Tidal Wetlands,,anne-arundel,kaufmann-ketter-property
,68896,Piney Branch Bog,SMECO Row @ Billingsley Rd,"Saint Charles,MD,20602",Charles,Penalty Settlement,,2012-06-19,2012-08-17,Non-Tidal Wetlands,,charles,piney-branch-bog
,69536,Nexus Land Group/jefferson Tech Park/,S SIDE JEFFERSON PIKE IMMED SW OF I-70,"Frederick,MD,21703",Frederick,Penalty Settlement,C-15-2148,2014-09-16,2014-10-02,Notice of Intent;Sediment,Notice of Intent (Construction),frederick,nexus-land-group-jefferson-tech-park
,71435,New Plan Maryland Holdings-Liberty Plaza Wal-Mart,8700 Liberty Road,"Randallstown,MD,21133",Baltimore,Penalty Settlement,,2012-08-13,2012-10-09,Notice of Intent,Notice of Intent (Construction),baltimore,new-plan-maryland-holdings-liberty-plaza-wal-mart
,71789,McCready Railway & Boatyard,12878 McCready Road,"Lusby,MD,20657",Calvert,,,,2017-10-20,Not Assigned,,calvert,mccready-railway-boatyard
,75852,"WeCare Denali, LLC",7800 Kabik Ct.,"Woodbine,MD,21797",Carroll,Settlement Agreement,SA-18-2480,2017-07-17,2022-05-13,Surface Water Discharge Permit,Industrial Stormwater,carroll,wecare-denali-llc
,77614,Fr Comm/bush Creek Sewer Interceptor/,Green Valley Rd to FR CO LANDFILL,"Ijamsville,MD,21754",Frederick,Penalty Settlement,PS-15-2129,2014-08-04,2014-08-30,Notice of Intent;Sediment,Notice of Intent (Construction),frederick,fr-comm-bush-creek-sewer-interceptor
,78229,City Of Westminster/sanitary Sewer,CITY OF WESTMINSTER,"Westminster,MD,",Carroll,Penalty Settlement,Ryan Seavolt,2014-11-18,2014-11-20,Surface Water Discharge Unauthorized,Collection System (SSO),carroll,city-of-westminster-sanitary-sewer
,88532,Capt John's Crabhouse,16215 Cobb Island Rd,"Newburg,MD,20664",Charles,Penalty Settlement,PS-14-1992,2013-09-20,2013-10-04,Tidal Wetlands,,charles,capt-john-s-crabhouse
,97509,"F & F Landscaping, Inc","12402 Crestwood Ave, South","Brandywine,MD,20613",Prince George's,Administrative Order,PS-16-2374,2016-03-03,2016-03-17,Surface Water Discharge Unauthorized,Municipal Minor,prince-george-s,f-f-landscaping-inc
,97745,Estate Of Philip E Clarke/revetment,24591 Phils Lane,"Hollywood,MD,20636",St. Mary's,Settlement Agreement,SAP-18-2521,2018-02-16,2019-01-14,Not Assigned,,st-mary-s,estate-of-philip-e-clarke-revetment
,144338,Sabate,"Mountaindale Rd, Ted Sabate","Thurmont,MD,21788",Frederick,Penalty Settlement,PS-15-2158,2014-09-30,2014-10-17,Notice of Intent;Sediment,Notice of Intent (Construction),frederick,sabate
,144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Penalty Settlement,C-15-2153,2014-09-30,2014-10-28,Notice of Intent;Sediment,Notice of Intent (Construction),frederick,center-at-monocacy-lots-1-and-15
